Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,AKBNK.IS,ASELS.IS,THYAO.IS,TUPRS.IS,AKBNK.IS,ASELS.IS,THYAO.IS,TUPRS.IS,AKBNK.IS,ASELS.IS,THYAO.IS,TUPRS.IS,AKBNK.IS,ASELS.IS,THYAO.IS,TUPRS.IS,AKBNK.IS,ASELS.IS,THYAO.IS,TUPRS.IS
Date,,,,,,,,,,,,,,,,,,,,
2015-01-01,5.366191387176514,1.4199589490890503,9.407395362854004,3.57385516166687,5.366191387176514,1.4199589490890503,9.407395362854004,3.57385516166687,5.366191387176514,1.4199589490890503,9.407395362854004,3.57385516166687,5.366191387176514,1.4199589490890503,9.407395362854004,3.57385516166687,0,0,0,0
2015-01-02,5.3847808837890625,1.4199589490890503,9.495314598083496,3.612630844116211,5.397173982097535,1.4317919854707384,9.563696193337194,3.615862251699929,5.322816081441355,1.4081259127073622,9.43670113670221,3.5673922165181238,5.341405384306737,1.4140424308982062,9.446470202203985,3.577086007839693,6312573,3045792,7339894,2724008
2015-01-05,5.421960353851318,1.43179190158844,9.964219093322754,3.657869577407837,5.477728953443521,1.4436248244286916,9.964219093322754,3.690182357984359,5.409567255142531,1.414042348055775,9.739536164591227,3.657869577407837,5.409567255142531,1.4199588658999966,9.739536164591227,3.6611009848943605,12071774,8845024,21727957,4698064
2015-01-06,5.452942848205566,1.449541449546814,9.964219093322754,3.664332866668701,5.452942848205566,1.45545796782889,10.0619078902848,3.6675638431438506,5.397174247670621,1.4140424527025581,9.817686829509098,3.619094018861087,5.409567346588907,1.419958970984634,9.91537469484173,3.6223249953362364,13494930,7043600,8411055,3890747
2015-01-07,5.434353351593018,1.449541449546814,9.817686080932617,3.6449434757232666,5.521104696345399,1.473207409826918,10.110751517843761,3.6707943008401998,5.421960253114487,1.42587548926671,9.76884168617587,3.6320182788795576,5.452942654713481,1.461374486110966,10.013062728330267,3.6643319181331027,17298065,4922648,8474396,5780691
2015-01-08,5.477728843688965,1.4199589490890503,9.866530418395996,3.6546385288238525,5.496318146782341,1.4317919854707384,9.964218275712891,3.6740261127878027,5.440549548307547,1.4140424308982062,9.768841629449764,3.644944305412264,5.4715319498613955,1.4258754672798943,9.964218275712891,3.657869936627715,11239937,6937632,8623683,4615429
2015-01-09,5.539694309234619,1.4140422344207764,9.729766845703125,3.57385516166687,5.58307050093232,1.4258752691582954,9.827455640126347,3.6126309755078005,5.465336058802802,1.4140422344207764,9.641847117048105,3.570623753965626,5.5025157009147385,1.4258752691582954,9.700460580027915,3.6093995678065562,17602732,2565824,16354659,6072619
2015-01-12,5.52730131149292,1.4199589490890503,9.680922508239746,3.5189225673675537,5.632641609457124,1.4258754672798943,9.866531032463516,3.5673926078665965,5.50251511578559,1.4081259127073622,9.671153442411253,3.5189225673675537,5.62024851160346,1.4258754672798943,9.778611303265878,3.5673926078665965,16370889,3117224,18793145,7010353
